file_size,entropy,has_sus_strings,extension_risk,string_count,url_count,ip_count,label
994131,7.4297747766461155,1,1,65,12,1,1
6020877,5.611417727529487,1,0,13534,2,136,0
545807,7.995275882811366,1,1,33,5,0,1
56023,7.549081114650045,1,1,29,8,1,1
3377513,6.085560136345856,0,0,14611,90,183,0
1179842,7.545963850682419,1,1,44,2,5,1
9793712,3.671504532606348,0,0,7164,71,177,0
1409782,7.509754399052788,1,1,34,14,1,1
2236000,4.900704807266287,0,0,6975,24,28,0
1396395,7.462782684156576,1,1,57,13,6,1
5810041,6.792566329803034,1,0,3477,3,2,0
2193614,5.6647075928574875,0,1,8003,57,12,0
468189,7.5826206700577305,1,1,68,9,0,1
2602623,4.226748454936461,0,0,11208,61,52,0
1951367,5.741479037221987,0,0,1569,49,158,0
1601396,4.362766652583263,1,0,2668,45,201,0
4477576,3.404853213540501,0,0,8895,87,82,0
5334152,5.264482328256526,1,0,4478,42,173,0
2306413,4.385007219543142,1,0,10216,88,200,0
4085752,3.651812459340484,0,1,15993,14,59,0
8172548,4.0336442714077805,1,0,18591,71,37,0
4898954,3.256780902574824,0,0,3949,91,108,0
1715562,7.802421844487537,1,1,71,0,3,1
1333397,5.147135490408059,0,0,14069,59,69,0
220154,7.590775898995771,1,1,15,12,5,1
399027,7.946741249268616,1,1,16,11,7,1
1932946,7.5582052751572935,1,1,13,3,4,1
1076937,7.697782162091886,1,1,22,5,5,1
4143807,3.7490313472864907,0,0,6369,19,181,0
3464351,5.577286552350616,0,0,3858,1,179,0
973750,7.498418438875634,1,0,78,8,8,1
1596783,7.970427649998418,1,1,40,11,3,1
82356,7.80326867605928,1,1,42,3,9,1
305863,7.633193600926108,1,1,32,5,4,1
1366312,7.960421894395406,1,1,77,2,9,1
1042564,7.45732632473886,1,1,46,11,8,1
1315532,7.072254747276508,0,0,491,86,105,0
874282,7.7200369349040825,1,1,26,1,8,1
1032936,7.591081655361384,1,1,34,10,4,1
4271070,6.6893408918676345,0,1,14390,61,67,0
1732868,7.840824803344218,1,1,7,12,0,1
4989023,3.6550172346975023,0,0,9208,73,42,0
740526,7.999618959315607,1,1,35,11,0,1
362868,7.426259508318991,1,1,21,0,7,1
7614269,5.3935393491278845,0,0,918,96,62,0
7466373,5.589103037025552,0,0,5290,1,147,0
1839736,7.884846600620375,1,1,68,10,1,1
7186197,4.28327012315607,0,0,13420,27,35,0
1864162,7.687396360183587,1,1,42,5,0,1
2289627,4.027937928448242,0,1,9587,87,71,0
1634322,7.496627728976408,1,1,18,12,2,1
1070780,7.477857340097759,1,1,34,0,3,1
417880,3.5287744766773947,0,0,14485,93,206,0
806787,7.5954244010522,1,1,19,13,5,1
1089702,7.660880920261897,1,1,51,14,5,1
2670995,3.3113899702292686,0,0,11825,55,14,0
2454752,4.666996457426695,0,0,17809,12,53,0
1193087,7.749308441686784,1,1,24,12,9,1
5123930,3.5692012298503815,0,0,9819,69,7,0
5673354,5.236819249981684,1,0,15790,60,71,0
84280,7.582781499376146,1,1,16,14,3,1
3296990,3.6578303435628197,0,0,16330,78,85,0
7470344,4.428952889026968,1,0,11434,4,28,0
1047441,7.948851098855242,1,1,54,5,3,1
1052585,7.545680899895765,1,1,74,2,5,1
3789340,4.799896672982921,0,1,9226,77,186,0
1469325,7.659468415763128,1,1,49,8,1,1
905318,7.812163013400022,1,1,16,5,7,1
4247238,6.406002625170336,0,1,11592,69,112,0
756256,7.770826207474243,1,0,69,8,9,1
6424388,3.875915371887979,0,1,4866,32,111,0
689105,5.552215847229533,0,1,9948,33,248,0
9259731,4.101004529951304,0,0,19231,23,51,0
1712408,7.981353724231246,1,1,42,1,4,1
648803,7.807118846438039,1,1,30,4,9,1
3744797,3.434047159903342,0,0,3056,54,202,0
7586153,6.967279149777495,0,0,8636,67,161,0
1131299,7.4977499558009715,1,1,8,9,3,1
3298291,5.054877326495642,0,0,13366,35,84,0
267506,7.787578557499497,1,1,49,1,1,1
700200,7.656444972742589,1,1,59,8,3,1
2156748,6.684557925122904,0,0,11358,91,160,0
5873354,4.596190503726993,0,1,18052,46,242,0
1806468,3.133797079644638,1,0,12039,20,213,0
146559,7.6122816983863855,1,1,50,7,6,1
5204916,3.35567648455472,1,0,12034,40,130,0
1703152,7.560243164809453,1,1,63,6,4,1
560613,7.867745869316762,1,1,55,10,2,1
6357228,3.4572780228998305,0,0,9943,88,64,0
50115,6.520560517519361,1,0,12490,89,208,0
6660908,3.5706730114228926,0,0,9237,71,40,0
554517,7.840337222539756,1,0,19,4,9,1
8998354,3.190867420334674,0,0,16540,15,44,0
801877,7.726509292538781,1,1,43,7,4,1
587090,7.648818870983077,1,1,56,10,6,1
7905294,5.752852739706382,0,0,3362,18,6,0
191142,7.762236030521079,1,1,51,12,3,1
147837,7.879124549169252,1,1,72,9,3,1
362053,7.667772001084611,1,1,10,2,7,1
2977242,6.566129342107519,1,0,16443,72,150,0
1707152,7.974873677287768,1,1,18,13,1,1
1610448,7.887473706451343,1,1,49,14,1,1
311951,7.759831406666167,1,1,28,10,6,1
5135207,5.362481225250949,0,0,18047,55,60,0
991469,7.827217614232671,1,1,52,0,6,1
615829,7.838964766621115,1,0,5,2,0,1
6150031,5.7308831554117905,0,0,17056,70,111,0
1169149,7.994224525612783,1,1,68,9,9,1
5949540,5.5938434639175005,0,0,16225,12,74,0
1604310,7.54950469834542,1,1,37,7,8,1
5675719,4.708729650396924,0,1,19741,15,211,0
1460255,7.480011204052168,1,1,72,0,5,1
1468974,7.693752557745829,1,1,37,2,1,1
456439,7.938730026658689,1,1,6,6,7,1
278774,7.640213356561976,1,1,44,8,8,1
546208,7.8589316960991775,1,1,75,11,9,1
6042495,5.622276763644386,0,1,14989,37,246,0
5305509,3.163493947421056,1,0,655,59,184,0
1074641,7.964980911244021,1,1,14,8,0,1
403732,3.44181748554542,0,0,15838,27,44,0
2880190,5.688810038919975,0,1,17648,86,118,0
344937,7.515195170138474,1,1,65,7,9,1
1915918,7.410152806078966,1,1,55,1,7,1
8316390,7.1117554197904775,0,1,17906,32,40,0
1509202,7.51054968469666,1,1,75,5,4,1
1844142,7.89951700927543,1,1,39,13,3,1
368349,7.895115760883414,1,0,45,4,3,1
3709654,4.185595368310874,1,0,18162,78,18,0
1376991,7.595792154392956,1,1,72,8,5,1
6612653,4.010660023656448,1,1,6482,82,124,0
1722208,7.800314206785536,1,1,52,11,2,1
349974,7.785455943805147,1,1,16,0,9,1
8784148,5.832376228692008,0,1,5699,56,221,0
1398767,7.519811255700908,1,1,22,10,9,1
158164,7.02673144769974,0,1,2172,77,217,0
544940,7.643094603210165,1,0,12,5,1,1
1102963,7.692858209523696,1,1,19,13,2,1
523672,7.493540746123968,1,1,56,9,4,1
3257415,6.5947916742592,0,1,9925,64,110,0
814168,3.966215060982524,0,0,2046,1,220,0
9071277,5.243439200535716,0,0,9593,23,181,0
1538447,7.708687785278618,1,1,13,6,1,1
8068987,6.1695151668578205,0,0,15348,16,59,0
875144,7.649809699277859,1,1,49,9,6,1
6502632,5.0678958032381995,0,0,15899,20,28,0
9989209,4.129505263174202,0,1,1855,81,167,0
1235701,7.725932056620296,1,1,62,12,5,1
4123263,4.2786267074184074,1,1,16879,28,132,0
6512634,6.3918497347930465,0,0,1169,40,95,0
1843915,7.626916809848648,1,1,44,2,7,1
1005646,3.3007059045505667,1,0,12601,28,9,0
993682,7.699238219055159,1,1,63,10,2,1
4910047,4.680131972138537,0,0,10231,94,151,0
4328576,5.763076666472916,1,0,12131,30,201,0
3814270,4.292104358081859,1,0,9248,77,61,0
1756191,7.480878697051686,1,1,44,5,1,1
6405003,4.049833348816209,0,1,10971,67,86,0
1042657,7.717123916213773,1,1,34,0,6,1
1515867,7.957965296137402,1,1,56,14,9,1
404119,4.167652303868342,0,0,13736,51,87,0
1960200,7.604661628281475,1,1,26,14,6,1
365642,7.805113649306975,1,1,15,8,8,1
4849287,6.370523510100997,0,0,3893,75,191,0
1384956,7.886281770241756,1,1,69,2,7,1
1638411,7.415268285977024,1,1,62,13,4,1
1204507,7.470832704356032,1,1,26,6,9,1
8071924,6.468334172002991,1,0,7162,94,229,0
592787,7.746973169104042,1,1,75,11,3,1
8915501,6.096034570551386,0,0,14417,20,85,0
1768640,5.551098187733769,0,0,18129,53,141,0
2429388,7.096389143566483,1,0,4032,91,87,0
1749014,4.637910959697245,0,0,12979,30,141,0
494405,7.784018233011008,1,1,23,0,4,1
1310875,7.667286609850008,1,0,67,9,6,1
6847192,4.041594236645638,0,0,10438,61,245,0
662619,7.97965992363889,1,1,35,13,4,1
8412883,4.691825740223443,1,0,3470,99,139,0
856200,7.895455074570181,1,0,55,13,9,1
9513602,6.314356658534683,0,1,13641,60,14,0
8455561,5.176262485841029,0,0,16979,13,24,0
1576557,5.849271499735778,0,0,6925,9,227,0
11049,7.599851328856324,1,1,15,11,8,1
5985684,7.076865776737201,1,0,8519,75,211,0
1505384,4.864717936012472,0,1,19938,64,160,0
9162408,5.9585911084948595,1,0,12573,17,236,0
1820023,7.795320000153214,1,1,40,1,1,1
868267,7.744370253795955,1,1,13,5,7,1
5947594,5.524365343114949,0,0,7499,19,20,0
4038776,4.177302622310658,0,1,9163,85,133,0
4847769,6.901734708265241,0,0,12341,39,10,0
5659796,4.525817849104628,0,0,7473,59,248,0
929156,7.647601966402125,1,1,62,7,1,1
137922,7.84830450232379,1,1,26,13,6,1
7797324,4.188699269508604,1,0,2838,96,108,0
1162908,7.848035862320619,1,1,77,5,4,1
2860653,6.706543706138371,0,1,12290,77,140,0
1000247,7.764927963427745,1,0,45,11,0,1
901641,7.831284940969499,1,0,18,9,9,1
2010021,5.804129955780883,0,0,12554,19,23,0
252492,7.010742184047896,1,1,8528,45,72,0
9616560,7.203044107358582,0,0,1408,70,20,0
899320,5.6576221994349,1,0,19721,80,207,0
874172,6.180840427967825,0,0,1167,78,111,0
1159707,7.534343721148089,1,1,43,5,4,1
8791529,4.275928856747587,0,0,5241,55,176,0
5005998,7.029491422372818,0,0,15802,60,104,0
7073695,3.9938629234388805,0,1,17161,49,181,0
5438149,4.103785181733198,0,0,13126,55,57,0
305215,7.760008686488382,1,1,32,12,9,1
664539,7.646485557424605,1,1,15,1,1,1
1313175,7.620279701186159,1,1,73,7,9,1
1303865,7.816170582669727,1,1,17,9,2,1
1973399,7.819726684259328,1,1,54,13,1,1
1877478,7.6774941262433565,1,0,57,2,4,1
586395,7.975127364094452,1,1,44,9,5,1
680655,7.73758459834886,1,0,52,7,5,1
4966050,5.752012757398729,0,0,11579,32,196,0
7230039,4.676451117648639,0,0,10494,40,192,0
1345027,3.47647423737317,0,0,13055,88,204,0
1506823,7.442693153529549,0,1,13,1,4,1
1739298,7.462238098725497,1,1,58,13,4,1
856307,7.465869772202243,1,1,45,9,9,1
1887128,7.766790432231849,1,1,62,11,3,1
4595877,4.850449863288361,0,0,17422,0,186,0
378921,7.412286250017319,1,1,67,14,3,1
7668105,6.583263407333954,0,0,16143,77,218,0
1552433,7.9250732344108705,1,1,63,10,8,1
6201646,3.572523517965817,0,0,3072,40,80,0
91093,4.380648717474315,0,0,17034,60,222,0
3174584,5.778213552521771,0,1,1687,53,181,0
314604,7.7335042926101,1,1,49,14,5,1
6945121,4.930068208201245,1,0,13833,95,17,0
5844493,3.294573248496012,0,0,18247,24,138,0
6458294,4.631241936666422,0,0,12405,13,2,0
1388656,7.507667142548512,1,1,68,1,5,1
9689053,3.11685256919063,0,0,10355,94,24,0
9080703,4.6617816169843325,0,0,19398,90,1,0
2864793,4.214452864352,0,0,14430,40,79,0
6858658,5.692557537850494,0,1,15469,79,133,0
866634,7.492695941723623,1,1,62,12,0,1
1955354,5.82503058752732,1,1,17165,14,242,0
289477,7.458298809179579,1,1,30,5,9,1
5699848,6.380986614055506,0,1,8206,40,56,0
5333660,5.661477229933203,1,1,5430,31,122,0
1334453,7.481751208433829,1,1,23,12,8,1
425162,7.47696606347754,1,1,69,12,6,1
8438482,3.5981981502316764,0,1,6009,30,73,0
1786349,7.526231932696475,1,1,46,14,8,1
244295,7.530334459490649,1,1,57,10,9,1
88563,7.570436277247829,0,1,44,6,2,1
8962343,5.1262688645689,1,0,5699,3,167,0
1375119,7.7378565667234955,1,1,22,6,9,1
1244848,7.760084289928057,1,1,68,9,6,1
6666088,5.8877013075360605,0,1,9286,46,2,0
1590228,6.102114889513546,0,0,15369,78,181,0
7918596,5.200229962300501,0,1,19847,9,100,0
8412855,5.569146209317299,0,0,1568,15,113,0
1784474,7.577638304427552,1,1,51,2,4,1
1225047,7.8272708338004815,1,1,28,6,0,1
7137029,3.7765567721537936,0,0,15862,73,33,0
6241779,5.867526640368963,0,0,16404,55,21,0
813995,7.893510681199009,1,1,5,1,8,1
1835479,7.694388499604436,1,1,75,9,0,1
9614273,6.147419690618229,0,0,12271,82,0,0
7783937,4.011513014648535,0,0,9520,77,219,0
7394979,5.9061453097966465,1,1,4763,55,248,0
5388408,4.194979018170132,0,0,837,18,14,0
1151610,7.412988741552349,1,1,34,9,9,1
1573916,7.659560795574157,1,1,38,10,2,1
140016,7.949556647662269,1,1,52,9,5,1
7828494,6.548068442493426,0,0,5563,11,92,0
1700598,7.576353637382903,1,0,15,8,0,1
249947,7.511124506986336,1,1,38,8,1,1
1680899,7.493988427018181,1,0,54,8,5,1
4852188,3.4269994718408796,0,1,3358,14,192,0
318537,5.851080619352116,0,0,8443,76,113,0
937366,7.930924474270076,1,1,49,11,3,1
297062,7.9719003060627,1,1,16,2,9,1
590915,7.9831547304214014,1,1,15,13,5,1
513623,7.534796420063043,1,1,48,14,6,1
6562000,4.363941582091214,0,0,9818,94,240,0
33382,7.555544081234163,1,1,22,10,4,1
46051,7.534925055083418,1,1,61,12,1,1
520559,7.7059594972445895,0,1,17,1,8,1
9019873,7.191789006958781,0,0,16946,73,113,0
6791968,3.929020869550255,0,1,9687,7,191,0
713060,7.997870303060053,1,1,45,14,4,1
9956455,6.186219376180688,0,0,3401,80,174,0
4262946,4.738230837470099,1,0,3157,93,172,0
1552663,7.715411633551704,1,0,42,13,2,1
1631342,7.994859014934852,1,1,5,2,5,1
6156579,6.103402676683871,0,0,3501,90,3,0
851172,7.766945927287641,1,1,70,2,0,1
443061,4.656016515580751,1,0,19330,98,229,0
1852557,7.449405297858033,1,1,11,1,8,1
1173622,3.2513548406667816,0,1,15620,50,104,0
1733465,4.774503902158606,0,1,5511,26,240,0
765724,7.773879752451611,1,1,22,12,5,1
4950499,5.833852797075828,1,1,1486,49,128,0
9310205,5.442797803052829,0,0,10552,39,43,0
80560,7.564788915721094,1,1,5,10,8,1
9952907,5.239303009887115,0,0,17871,72,117,0
779153,7.48515992645564,1,1,22,4,9,1
145356,3.505890822436302,1,1,4417,94,217,0
8737347,6.672784789897168,0,0,6705,40,227,0
1726143,7.908153559730544,1,1,11,5,8,1
492234,6.301212718687156,0,0,12837,25,183,0
1244744,7.474542023333486,1,1,43,11,1,1
1509284,7.828886415278767,1,1,78,0,8,1
446101,4.551321832175579,0,1,9996,95,31,0
1167382,7.444130287385768,1,1,61,4,6,1
5753810,5.399317176765351,0,1,9135,51,93,0
1497291,7.884139608751814,1,1,15,5,0,1
606409,4.303734455682498,1,0,15297,45,104,0
1353316,7.696301564391154,1,1,30,4,9,1
335341,7.88030907475909,1,1,79,10,6,1
1940747,7.873546273611278,1,1,72,0,5,1
6954757,3.0080834991571157,0,0,17809,56,183,0
2383357,3.7107646771717504,1,0,879,57,203,0
9302434,3.623349811233213,0,0,12449,90,129,0
584679,7.853258660373217,1,1,39,2,7,1
3962352,6.5321575640631515,0,1,11750,46,48,0
1747846,7.685249742262409,1,1,21,5,6,1
746664,7.407237510693441,1,1,74,12,9,1
1353695,5.289669128005532,1,0,5024,46,15,0
5704737,7.263830158142178,0,0,13062,60,24,0
1169347,7.803135209381824,1,0,55,0,2,1
1524363,7.560969317323693,1,1,40,13,7,1
1008293,5.082913324568374,0,0,2822,60,35,0
1427003,7.710607200938575,1,1,37,13,4,1
2384366,6.056804281733973,0,0,17870,22,233,0
1699115,7.832945915651016,1,1,16,14,2,1
3585702,3.177089029700868,0,1,9347,82,234,0
1684214,7.78551910120362,1,1,58,0,6,1
5693493,3.834001629251432,0,1,16719,80,192,0
1296793,7.520460037435601,1,1,11,12,0,1
5346854,4.629816642742119,1,0,5891,32,11,0
5197467,6.387165966769147,0,0,17878,92,98,0
2216167,5.263946534861258,0,0,4233,96,192,0
932180,7.4940255774577516,1,1,22,14,8,1
1158431,7.940140914459266,1,1,67,4,5,1
3370538,4.350461418468748,0,0,4747,30,88,0
7885479,5.365395343970071,0,1,12637,93,79,0
2722864,3.8981155040346818,1,0,4911,66,232,0
969468,7.955685579957759,1,1,26,3,2,1
502281,7.524056314441857,1,1,21,3,3,1
9401725,4.6592603624489985,0,0,6681,81,60,0
362465,7.6745873696201246,1,1,24,1,7,1
1559388,7.935645525797813,1,1,38,5,3,1
858352,7.4934051276585425,0,1,30,0,3,1
1535837,3.2954651798285512,0,0,18649,42,116,0
5745588,3.2056725276946536,0,1,18805,18,123,0
4589334,6.264769552161624,1,0,10992,1,226,0
1629093,7.55633357959187,1,1,43,14,2,1
1093501,6.150331509213581,1,0,6266,55,218,0
1162167,7.989010703562229,1,1,19,6,6,1
109280,7.570766158736107,1,1,34,13,9,1
188725,7.743816776139033,1,1,73,5,3,1
613350,7.936629845823114,1,1,79,0,6,1
294329,7.423645721174235,1,1,71,3,1,1
770598,4.220574473017173,0,1,18912,51,146,0
615743,7.756472879899513,1,1,10,3,4,1
7083212,5.635470691706381,0,0,17715,59,158,0
76266,7.5727871647595,1,1,71,5,8,1
29659,7.52386713944972,1,1,19,9,9,1
9079552,5.215253232435046,0,0,3557,51,245,0
1258720,7.785385373474611,1,0,46,10,6,1
9908771,5.797200085504378,0,0,11660,59,30,0
198775,6.398452264198637,0,0,13489,46,50,0
7057993,3.9428780362726656,0,0,19575,12,211,0
4621650,7.026180962067374,0,0,1961,26,216,0
6915550,5.210182231577518,1,0,19189,22,157,0
1842149,7.5364279725166075,1,1,65,4,7,1
2165367,3.2713688422403457,0,0,10080,4,234,0
72295,5.582621032948815,0,0,19765,63,105,0
498241,7.939914369109517,1,1,23,1,6,1
864561,4.20543818140354,0,0,13924,12,51,0
6203258,6.793711791207844,1,0,9040,98,81,0
2902614,3.1917581060037348,0,0,6384,52,134,0
9497563,5.259370123946479,0,1,6742,72,216,0
4613338,6.404309950349412,0,0,6263,10,18,0
5958515,3.661301943572534,1,1,9416,23,67,0
3686501,5.130444044882221,0,0,7550,68,186,0
6707024,5.9739576389480735,0,0,15253,61,137,0
540624,7.577972517100351,1,1,27,13,0,1
8218316,3.7330551341478455,0,0,5659,88,69,0
1887451,7.83617232123986,1,1,72,6,1,1
7467027,5.3451388212387005,0,0,16791,2,156,0
2036848,6.899854077989786,0,0,10541,26,239,0
2203575,5.912765482530482,0,0,15507,67,47,0
7970693,3.132397213539926,1,0,4777,43,142,0
1826806,7.848966092152625,1,1,10,8,9,1
927947,7.510559045702447,1,1,47,8,9,1
8515716,4.354154231035761,0,1,12923,46,220,0
6707971,3.4187915879802744,1,1,8259,67,170,0
424287,7.657138767561076,0,1,24,2,8,1
130730,7.809810991096497,1,1,79,2,5,1
2378935,5.799116541007712,1,0,17376,78,186,0
583374,7.910724431266846,0,1,76,11,0,1
1753683,6.577011386981114,0,1,15266,81,123,0
1803723,7.769623117003975,1,1,44,4,0,1
1745081,7.914396694120132,1,1,18,14,5,1
5148581,6.104116800085821,1,0,6633,75,192,0
947243,7.561706372730979,1,1,72,1,1,1
1443903,7.406044197195939,1,1,24,7,2,1
2603967,4.9370007971286185,0,1,6356,49,152,0
1011830,7.879444051691718,1,1,16,5,9,1
6494509,6.141134352122798,0,0,10182,37,114,0
1848865,7.030727284106579,1,0,11440,89,217,0
5596108,5.959293823226361,0,0,1882,88,31,0
8961820,4.736760815931532,1,0,14345,76,21,0
4373093,4.389461825402198,0,0,4969,43,190,0
7069121,7.052264182139602,0,0,10337,39,198,0
7655909,5.40000307325361,0,0,17236,98,244,0
2367610,3.5586986755035155,1,0,18976,75,180,0
6375201,6.3399116110282785,0,0,5922,14,157,0
2746683,6.335960363909711,1,0,15143,63,138,0
6557168,6.7488809495844215,1,0,3995,48,133,0
8677924,5.056517502039461,0,0,2270,53,221,0
1316884,7.52414971240767,1,1,23,2,3,1
7386034,6.548061870964295,0,1,11117,30,191,0
2509749,6.266204363492917,0,1,9163,89,180,0
6106525,5.060487886607479,0,0,2362,50,216,0
1949437,7.443453387716411,1,1,66,8,0,1
1297516,3.2270570300146706,0,0,18402,60,190,0
1743139,7.773897052246748,1,1,39,5,1,1
1475544,7.84954179836148,1,1,53,9,3,1
4963140,6.265180610068324,0,0,15228,6,22,0
507165,7.434022790822028,0,0,19,4,2,1
1699634,7.526758239385261,1,1,28,9,9,1
555042,7.639977274750363,1,1,32,2,2,1
249190,7.638925978470797,1,1,12,0,7,1
7598626,7.29876935787043,0,0,586,82,147,0
9516807,3.0125604402718564,0,0,697,24,0,0
1576023,7.42518230204364,1,1,76,2,1,1
2908360,4.019219785565846,1,1,4719,24,54,0
1601604,7.465639955276201,1,1,67,14,3,1
661666,7.515681676805964,1,1,18,1,6,1
73146,7.536289848062796,0,1,38,8,8,1
890077,7.599823541218036,1,1,75,3,5,1
984507,7.926424712324835,1,0,50,2,0,1
1018449,7.732958986624606,1,1,13,1,4,1
4575293,4.879811171912354,0,1,10550,43,221,0
490001,7.7557930932695065,1,1,62,9,2,1
855016,6.242663025359505,0,0,8283,68,51,0
994943,7.991161992860541,1,1,61,10,5,1
172818,7.526347514302966,1,1,11,5,0,1
1900484,7.979596696734477,1,1,73,12,3,1
547262,7.841541191521115,1,1,78,7,9,1
5285958,5.398626825295565,1,0,14596,70,202,0
9727290,6.4859494903409445,1,0,4591,25,225,0
222628,7.654637775649122,1,1,18,12,9,1
4467271,5.7001852269223345,0,1,1772,70,13,0
1717861,7.846734114262747,1,1,46,11,7,1
131701,7.640507141392088,1,1,38,3,9,1
4886211,7.267386222104721,0,0,4598,90,164,0
7285953,3.254103727336489,0,0,18760,69,17,0
148056,7.787474214677044,1,1,45,5,1,1
3446376,5.867977523060901,0,0,13783,12,16,0
1613416,7.861068740275771,1,1,58,9,0,1
1885943,7.668845090948981,1,1,12,13,6,1
4496013,5.033457671086891,0,0,11836,82,122,0
1645377,7.7382820346669865,1,1,68,8,6,1
2081154,5.931178774326966,0,1,333,74,222,0
1113549,7.55189127529377,1,1,75,11,0,1
5726570,7.242779815535795,0,0,6889,8,76,0
1872403,7.174224817983881,0,1,15040,16,174,0
1230685,7.489902880512781,1,1,44,13,4,1
8930285,4.843111351973046,0,0,11867,60,86,0
68541,7.691033198573579,1,1,58,12,7,1
4391020,4.64093134142896,0,0,7969,81,158,0
6904836,5.802355786017164,0,1,10406,24,18,0
3082328,3.0123893821621426,0,0,19651,43,173,0
482919,7.406415194068101,1,1,12,1,7,1
6731886,6.07661090052688,0,0,1140,67,199,0
9829366,4.092091960659706,1,1,12436,70,70,0
944073,7.860307597042197,1,1,67,9,6,1
7423212,4.599310472042519,0,0,19322,2,148,0
8931264,6.7591749137949115,0,0,17587,67,215,0
1303835,7.611461564915945,1,1,21,3,5,1
265931,7.4195745328438285,1,1,56,10,6,1
166270,7.887886034179602,1,1,35,7,6,1
700288,7.601055460561006,1,1,76,4,5,1
974949,7.696753866805889,1,1,17,3,2,1
203708,7.531999683341976,1,1,33,5,1,1
4109880,5.363209723905218,0,0,2863,66,220,0
5026764,3.386192263415928,1,0,1224,37,14,0
982425,7.98154436452214,0,0,25,5,5,1
6485531,4.919385180004118,0,1,6794,68,120,0
1121177,7.768067283540795,1,1,38,3,5,1
7907166,3.781478520050691,0,0,7271,17,47,0
1429098,7.5974464501340195,1,1,39,7,1,1
710662,3.5572828001404004,1,0,18554,60,52,0
9053788,6.66599846217668,0,1,1205,36,25,0
469567,7.653713647140117,1,1,69,5,9,1
920175,7.591444983392436,1,1,19,0,5,1
7717868,5.8792912493760365,0,0,7592,99,78,0
1946754,7.627778520491381,1,1,17,0,8,1
1713503,4.561333167526245,1,0,2063,85,84,0
8110916,6.803024384658501,1,0,8211,81,62,0
119834,3.0680306945920046,1,0,8269,91,249,0
642049,7.69524902323305,1,1,38,8,5,1
1320333,7.748918284566266,1,1,16,9,9,1
2428540,4.934321494282004,1,1,7805,32,163,0
1527060,7.982890529025386,0,1,62,4,8,1
212668,7.984326660226184,1,1,74,3,5,1
3600865,4.523215833912531,0,0,15457,76,197,0
1782731,7.408521293702459,1,1,49,10,2,1
7659426,3.0753187607068675,0,0,18662,64,195,0
360639,7.575743448021037,1,1,25,0,9,1
9180875,4.616769426747639,1,0,13389,14,215,0
555594,6.725686270368875,0,0,13863,58,179,0
4198355,4.902362726866879,1,0,9095,27,97,0
1874421,3.044839107408833,0,0,4882,14,121,0
1459169,7.865954537589992,0,1,78,11,4,1
1574050,7.664076617927796,1,0,52,10,5,1
466295,7.959495067866608,1,1,69,4,4,1
2191222,5.763501027991421,0,0,4234,96,177,0
7007454,5.616491574437102,1,0,15982,40,190,0
1102139,7.556974883775098,1,1,52,9,1,1
332433,7.905957225693059,1,1,49,0,2,1
328359,3.592638466384712,0,1,3089,41,241,0
6844532,5.048878550246659,0,0,4431,69,29,0
1501476,7.434543119181678,1,1,25,3,7,1
4265694,3.9693866484938836,0,0,18053,85,228,0
